ts,hour_utc,coin,spread,cost54,cost109
1789280676,6,AAVE,0.000866,0.000571,0.000700
1789280676,6,TAO,0.000421,0.000211,0.000211
1789280676,6,NEAR,0.000429,0.000214,0.000214
1789280676,6,BILL,0.003795,0.002545,0.002601
1789281286,6,BTC,0.000001,0.000001,0.000001
1789281286,6,ETH,0.000004,0.000002,0.000002
1789281286,6,SOL,0.000198,0.000099,0.000099
1789281286,6,ADA,0.000482,0.000241,0.000241
1789281286,6,LINK,0.000174,0.000087,0.000087
1789281286,6,AVAX,0.000537,0.000269,0.000311
1789281286,6,XRP,0.000147,0.000073,0.000073
1789281286,6,DOT,0.000394,0.000244,0.000332
1789281286,6,XLM,0.001830,0.000952,0.000961
1789281286,6,SUI,0.000138,0.000069,0.000069
1789281286,6,HYPE,0.000089,0.000196,0.000209
1789281286,6,ZEC,0.000044,0.000022,0.000022
1789281286,6,AAVE,0.000158,0.000573,0.000602
1789281286,6,TAO,0.000839,0.000419,0.000419
1789281286,6,NEAR,0.000429,0.000214,0.000214
1789281286,6,BILL,0.003801,0.002549,0.002605
1789281897,6,BTC,0.000001,0.000001,0.000001
1789281897,6,ETH,0.000075,0.000038,0.000038
1789281897,6,SOL,0.000197,0.000099,0.000099
1789281897,6,ADA,0.000964,0.000482,0.000482
1789281897,6,LINK,0.000261,0.000199,0.000209
1789281897,6,AVAX,0.000135,0.000067,0.000110
1789281897,6,XRP,0.000073,0.000037,0.000037
1789281897,6,DOT,0.000295,0.000148,0.000191
1789281897,6,XLM,0.001720,0.000971,0.000999
1789281897,6,SUI,0.000138,0.000318,0.000332
1789281897,6,HYPE,0.000254,0.000148,0.000203
1789281897,6,ZEC,0.000053,0.000026,0.000026
1789281897,6,AAVE,0.001183,0.000773,0.000801
1789281897,6,TAO,0.000420,0.000210,0.000210
1789281897,6,NEAR,0.000859,0.000429,0.000429
1789281897,6,BILL,0.003798,0.002547,0.002603
1789282507,6,BTC,0.000001,0.000001,0.000001
1789282507,6,ETH,0.000004,0.000002,0.000002
1789282507,6,SOL,0.000099,0.000049,0.000049
1789282507,6,ADA,0.000484,0.000242,0.000242
1789282507,6,LINK,0.000437,0.000288,0.000297
1789282507,6,AVAX,0.000676,0.000338,0.000382
1789282507,6,XRP,0.000147,0.000130,0.000139
1789282507,6,DOT,0.000394,0.000307,0.000395
1789282507,6,XLM,0.001947,0.001047,0.001066
1789282507,6,SUI,0.000557,0.000278,0.000278
1789282507,6,HYPE,0.000153,0.000078,0.000087
1789282507,6,ZEC,0.000097,0.000050,0.000054
1789282507,6,AAVE,0.000949,0.000535,0.000544
1789282507,6,TAO,0.000422,0.000211,0.000211
1789282507,6,NEAR,0.000432,0.000216,0.000216
1789282507,6,BILL,0.003807,0.002553,0.002609
1789283118,7,BTC,0.000001,0.000001,0.000001
1789283118,7,ETH,0.000004,0.000002,0.000020
1789283118,7,SOL,0.000198,0.000099,0.000099
1789283118,7,ADA,0.000483,0.000242,0.000242
1789283118,7,LINK,0.000350,0.000244,0.000253
1789283118,7,AVAX,0.000135,0.000068,0.000111
1789283118,7,XRP,0.000074,0.000037,0.000037
1789283118,7,DOT,0.000294,0.000195,0.000286
1789283118,7,XLM,0.002783,0.001429,0.001438
1789283118,7,SUI,0.000556,0.000278,0.000278
1789283118,7,HYPE,0.000140,0.000087,0.000110
1789283118,7,ZEC,0.000088,0.000044,0.000044
1789283118,7,AAVE,0.000949,0.000535,0.000544
1789283118,7,TAO,0.000844,0.000422,0.000422
1789283118,7,NEAR,0.000866,0.000433,0.000433
1789283118,7,BILL,0.004556,0.002926,0.002982
1789283729,7,BTC,0.000001,0.000001,0.000001
1789283729,7,ETH,0.000004,0.000002,0.000002
1789283729,7,SOL,0.000099,0.000049,0.000049
1789283729,7,ADA,0.000483,0.000241,0.000241
1789283729,7,LINK,0.000349,0.000175,0.000175
1789283729,7,AVAX,0.000135,0.000068,0.000111
1789283729,7,XRP,0.000147,0.000074,0.000074
1789283729,7,DOT,0.000394,0.000245,0.000354
1789283729,7,XLM,0.002503,0.001363,0.001391
1789283729,7,SUI,0.000417,0.000208,0.000208
1789283729,7,HYPE,0.000013,0.000006,0.000101
1789283729,7,ZEC,0.000158,0.000082,0.000089
1789283729,7,AAVE,0.000868,0.000627,0.001047
1789283729,7,TAO,0.000845,0.000422,0.000422
1789283729,7,NEAR,0.000865,0.000432,0.000432
1789283729,7,BILL,0.005321,0.003309,0.003366
1789284339,7,BTC,0.000001,0.000001,0.000001
1789284339,7,ETH,0.000004,0.000002,0.000007
1789284339,7,SOL,0.000198,0.000099,0.000099
1789284339,7,ADA,0.000482,0.000241,0.000241
1789284339,7,LINK,0.000175,0.000087,0.000087
1789284339,7,AVAX,0.000135,0.000068,0.000068
1789284339,7,XRP,0.000147,0.000073,0.000073
1789284339,7,DOT,0.000393,0.000477,0.000773
1789284339,7,XLM,0.002556,0.001389,0.001417
1789284339,7,SUI,0.000417,0.000323,0.000335
1789284339,7,HYPE,0.000013,0.000006,0.000006
1789284339,7,ZEC,0.000123,0.000069,0.000087
1789284339,7,AAVE,0.001185,0.000774,0.000802
1789284339,7,TAO,0.000846,0.000423,0.000423
1789284339,7,NEAR,0.000434,0.000217,0.000217
1789284339,7,BILL,0.003801,0.002531,0.002596
1789284950,7,BTC,0.000001,0.000001,0.000001
1789284950,7,ETH,0.000004,0.000002,0.000034
1789284950,7,SOL,0.000099,0.000049,0.000049
1789284950,7,ADA,0.000483,0.000577,0.000651
1789284950,7,LINK,0.000350,0.000244,0.000253
1789284950,7,AVAX,0.000135,0.000068,0.000102
1789284950,7,XRP,0.000074,0.000037,0.000037
1789284950,7,DOT,0.000296,0.000318,0.000539
1789284950,7,XLM,0.002671,0.001373,0.001382
1789284950,7,SUI,0.000417,0.000209,0.000209
1789284950,7,HYPE,0.000013,0.000006,0.000012
1789284950,7,ZEC,0.000264,0.000164,0.000250
1789284950,7,AAVE,0.001028,0.000575,0.000584
1789284950,7,TAO,0.000845,0.000422,0.000422
1789284950,7,NEAR,0.000435,0.000522,0.000588
1789284950,7,BILL,0.006102,0.003702,0.003759
1789285560,7,BTC,0.000001,0.000001,0.000001
1789285560,7,ETH,0.000004,0.000002,0.000002
1789285560,7,SOL,0.000199,0.000099,0.000099
1789285560,7,ADA,0.000484,0.000242,0.000242
1789285560,7,LINK,0.000525,0.000331,0.000341
1789285560,7,AVAX,0.000136,0.000068,0.000102
1789285560,7,XRP,0.000074,0.000037,0.000037
1789285560,7,DOT,0.000394,0.000343,0.000549
1789285560,7,XLM,0.002783,0.001428,0.001438
1789285560,7,SUI,0.000278,0.000254,0.000267
1789285560,7,HYPE,0.000051,0.000025,0.000101
1789285560,7,ZEC,0.000115,0.000065,0.000083
1789285560,7,AAVE,0.001423,0.000772,0.000781
1789285560,7,TAO,0.000423,0.000560,0.000597
1789285560,7,NEAR,0.000869,0.000435,0.000435
1789285560,7,BILL,0.003815,0.002541,0.002606
1789286174,7,BTC,0.000001,0.000001,0.000001
1789286174,7,ETH,0.000004,0.000002,0.000002
1789286174,7,SOL,0.000199,0.000099,0.000099
1789286174,7,ADA,0.000486,0.000243,0.000243
1789286174,7,LINK,0.000350,0.000244,0.000253
1789286174,7,AVAX,0.000136,0.000185,0.000195
1789286174,7,XRP,0.000074,0.000037,0.000037
1789286174,7,DOT,0.000099,0.000158,0.000264
1789286174,7,XLM,0.001505,0.000790,0.000799
1789286174,7,SUI,0.000558,0.000279,0.000279
