symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
ZECUSDT,13920,13924,1784029500,1784034000,LONG,TRAIL,506.582034,514.24,525.7968605,498.69437983,4.266022123701045,4.0091234194314085,0.2568987042696365,14,1.6,64.27,0.22727272727272846,0.005377692901663599,1.0442408197289854,base,adaptive disabled,1.15,65.4,60,87,50,80,OVERLAP,neutral,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | Engulfing | BullWick | Session:OVERLAP | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,1,0.525,bear,0.4186,1.935,10.0,0.2492,1.555,1.0,0.4213,2.0,13917,3,1,0.602,0.37,1,2.213,1
BTCUSDT,13963,14022,1784068200,1784122200,LONG,TRAIL,65015.11928,65339.48128,67207.8064,64093.9312,0.1631305433805293,0.12343071943686731,0.03969982394366197,15,1.4,67.14,0.5005542008423933,0.004529358218792179,1.781931222848289,base,adaptive disabled,1.0,78.5,90,100,50,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,0,0.475,range,0.6172,1.26,0.0,-0.0027,1.972,1.0,0.3283,0.28125,13963,0,4,1.109,1.103,1,0.621,0
AVAXUSDT,13969,14022,1784073600,1784122200,LONG,TRAIL,6.7167444,6.76712474,7.02762369,6.59345877,0.37036536149788646,0.2682131824483085,0.10215217904957793,14,6.83,64.0,0.437908496732031,0.006522807424505822,1.6693369462813215,base,adaptive disabled,1.0,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 6.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.5,range,0.9226,1.0571,0.0,-0.2071,3.548,-1.0,-0.2211,0.9375,13969,0,1,0.327,0.254,1,0.944,0
ETHUSDT,13969,14020,1784073600,1784120400,LONG,TRAIL,1884.216176,1893.616576,1947.76288,1857.51904,1.2503866347762251,1.1445204375931266,0.10586619718309859,15,1.73,64.82,0.3487812217875411,0.006149496176287434,1.66448722690443,base,adaptive disabled,1.0,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1,0,1,0.35,bear,0.7895,1.2333,2.25,-0.0517,1.265,1.0,0.4335,0.75,13965,2,3,0.962,0.369,1,1.28,0
AAVEUSDT,13972,13997,1784076300,1784099700,LONG,SL,99.06746999999999,101.08,102.4086,97.6638,-1.0405597469490657,-1.1464259441321651,0.10586619718309925,15,2.89,59.24,0.4687499999999981,0.005505851106280294,0.9667115416089038,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.9x | FVG | ChoCH | Discount | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Discount+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.675,range,1.594,0.1304,0.0,-0.072,2.589,1.0,0.5482,0.75,13971,2,1,0.359,3.069,1,1.036,0
BILLUSDT,6698,6702,1784081700,1784086200,SHORT,TRAIL,0.039542814,0.03879777,0.03546885,0.04101705,0.3641372296605745,0.31384489095089696,0.05029233870967753,15,1.32,33.22,0.6058823529411774,0.01932676384310202,0.6969399117444466,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.3x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,0.45,bear,0.3983,1.0641,0.0,0.015,2.383,1.0,-0.4569,0.9375,6698,0,4,0.733,0.931,0,0.95,3
LABUSDT,13980,13994,1784083500,1784097000,SHORT,TRAIL,0.23528124,0.2201,0.21,0.244053,1.4229278291700858,1.3600624057829889,0.06286542338709686,13,1.54,28.08,0.5594936708860762,0.06623944145127493,1.9871832441573,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,0.6,bear,1.45,1.0066,1.27,-0.0999,1.368,1.0,-0.1406,1.171875,13980,1,2,0.721,2.432,0,0.573,0
AVAXUSDT,13995,14022,1784097000,1784122200,LONG,TRAIL,6.7087268,6.76311102,7.03955512,6.57881496,0.1844179096729961,0.14084614410105134,0.043571765571944754,13,1.78,63.78,0.3157894736842087,0.0037283985102373653,1.2411838640766324,base,adaptive disabled,1.0,77.9,90,97,50,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1,0,0,0.45,range,0.8061,1.1267,10.0,0.1043,1.391,1.0,0.3962,0.421875,13995,1,3,1.654,1.902,1,1.323,5
BTCUSDT,13995,14022,1784097000,1784122200,LONG,TRAIL,64992.77022,65317.02072,67184.7036,64071.8988,0.17026150766472742,0.13056168372106527,0.03969982394366215,18,2.59,63.6,0.40770348837209197,0.0028711875042131707,1.4479743484586414,base,adaptive disabled,1.0,90.5,90,100,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.6x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 18,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2,0,0,0.5,range,0.5872,1.3293,0.0,0.154,2.067,1.0,0.3829,0.28125,13993,0,1,1.035,0.531,1,1.936,1
HYPEUSDT,14007,14021,1784107800,1784121300,LONG,TRAIL,68.0163074,68.81448309,72.60441545,66.28786152,0.6233091076862175,0.5347690536291009,0.08854005405711657,15,2.11,70.29,0.3655589123867076,0.006053729441448118,1.3524956726880595,base,adaptive disabled,1.25,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,0.375,range,0.1356,1.1234,1.367,0.1005,3.091,1.0,0.217,1.125,14006,0,1,1.423,0.44,1,0.633,0
