symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,mae_r,size_mult,signal_bar
NEARUSDT,13504,13513,1702611900,1702620900,SHORT,TRAIL,2.274,2.226246,2.11482,2.35359,0.6316965985323778,0.5745537413895208,0.057142857142857106,16,3.61,39.03,0.29850746268656864,0.00529094108815198,0.8575103806818383,base,adaptive disabled,1.15,76.0,60,95,80,80,OFF_HOURS,neutral,bearish,OB,BOS bearish | Vol 3.6x | FVG | OB | Engulfing | Premium | BearWick | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | Engulfing+1 | Premium+1 | BearWick+1 | Zone:OB+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,0.65,range,0.0377,1.0,13502
AVAXUSDT,13511,13526,1702618200,1702632600,LONG,TRAIL,39.829,40.665409,42.61703,38.434985,0.8798682039658557,0.8227253468229987,0.05714285714285702,14,3.6,65.72,0.4140956694027748,0.012993093890873178,1.4019512115826192,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 3.6x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | RelStrengthRisk:1.15,0,0,0.425,range,0.6341,1.0,13511
SOLUSDT,13528,13552,1702633500,1702656000,LONG,SL,78.41,80.05661,83.8987,75.66565,-1.3227175833986187,-1.3798604405414758,0.0571428571428572,13,1.73,68.79,0.40717299578059046,0.012166717695785005,1.349624018024036,base,adaptive disabled,1.15,84.5,90,100,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+0 | QualityRisk:1.15,0,0,0.4,range,1.4503,1.0,13528
SUIUSDT,13584,13588,1702683900,1702688400,SHORT,TRAIL,0.6187,0.6057073,0.575391,0.6403545,0.7839772708507025,0.7268344137078454,0.05714285714285709,13,1.62,30.78,0.3553719008264486,0.009506179202646679,1.4135467402611137,base,adaptive disabled,1.25,78.5,90,100,50,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.45,bear,0.1154,1.0,13584
SUIUSDT,13588,13621,1702687500,1702718100,SHORT,SL,0.6089,0.5961131,0.566277,0.6302115,-1.0323065011848054,-1.0894493583276623,0.05714285714285704,16,2.17,33.44,0.44126984126984553,0.016096639771832552,2.37655388669597,base,adaptive disabled,1.25,88.5,90,90,90,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 2.2x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.475,bear,1.0417,1.0,13588
LINKUSDT,13664,13688,1702755900,1702778400,SHORT,TRAIL,14.454,14.19223908,13.58146358,14.89026821,0.6183961686979528,0.5521341781669443,0.0662619905310085,14,2.39,31.16,0.18973214285714224,0.008102572053516915,2.020836402852704,base,adaptive disabled,1.15,84.9,90,72,90,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+0 | TrendPairRisk:1.15,0,1,0.575,bull,0.0504,1.0,13663
BTCUSDT,13688,13705,1702777500,1702793700,SHORT,TRAIL,42102.0,41798.8656,41091.552,42607.224,0.409594872086693,0.24292820542002697,0.16666666666666602,15,5.38,29.49,0.44291754756870483,0.003575672222375118,1.6444295734542904,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 5.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | NestedOB_1h+2 | TrendPairRisk:1.15,0,0,0.525,bear,0.0752,1.0,13688
SUIUSDT,13704,13740,1702791900,1702825200,SHORT,TRAIL,0.6175,0.6045325,0.574275,0.6391125,0.47140510348718156,0.4142622463443242,0.057142857142857356,14,3.9,30.01,0.38596491228070234,0.010882068448398168,1.6323102675188292,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 3.9x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+0 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.55,range,0.199,1.0,13704
SOLUSDT,13736,13747,1702820700,1702831500,SHORT,SL,72.27,71.32410171,68.0,73.84649716,-1.0783400332925435,-1.1700243088290752,0.09168427553653175,15,3.33,35.4,0.20776699029126505,0.009343516118045686,1.394090741614779,base,adaptive disabled,1.15,78.5,65,84,90,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 3.3x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+0 | QualityRisk:1.15,0,0,0.35,range,1.1227,1.0,13735
BTCUSDT,13743,13748,1702827000,1702832400,SHORT,SL,41865.2,41216.1,40860.4352,42367.5824,-1.1226507934991303,-1.2893174601657962,0.1666666666666659,16,1.6,38.35,0.2740260977235839,0.005255002292193393,2.349389393656262,base,adaptive disabled,1.25,77.9,90,82,60,80,NEW_YORK,bearish,bearish,OB,BOS bearish | Vol 1.6x | FVG | OB | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+0 | NestedOB_1h+2 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,0.6,bear,1.1569,1.0,13741
