symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
AVAXUSDT,1090,1147,1707165000,1707217200,SHORT,TRAIL,34.403,33.84555979,29.75766494,35.33206701,0.6834813777318296,0.6649665668356813,0.0185148108961483,13,2.37,30.73,0.4371727748691084,0.006474638717224857,1.3458719067687965,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 2.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.302,0,3.6671,0.0526,2.5682,-1,0.0,0.3713,1.2432,1.392,-0.0511,1.632,1.0,-0.3013,1.25,1090,0,1,0.668,0.095,1,1.452,3
SUIUSDT,1110,1144,1707183000,1707214500,LONG,SL,1.594,1.6638,1.87295,1.53821,-0.8053358576805888,-0.8133715719663029,0.008035714285714285,18,2.24,63.23,0.49747474747475057,0.01352780072079722,1.4730578649750332,base,adaptive disabled,1.25,90.5,90,100,90,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | LiqSweep | MACD_Div | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 18 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.1566,4,3.2408,0.0526,2.3566,-1,0.0,1.2117,0.3252,0.0,0.2113,1.358,1.0,0.1421,0.703125,1110,24,1,1.386,2.577,1,1.653,3
LINKUSDT,1138,1148,1707208200,1707218100,LONG,SL,19.108,19.35564378,21.17169813,18.69526037,-2.025490016551105,-2.0625264407006347,0.03703642414952974,14,1.3,53.14,0.16930022573363218,0.006904446987172416,1.1881297910988886,base,adaptive disabled,1.15,64.0,60,80,50,80,LONDON,neutral,bullish,FVG,BOS bullish | Vol 1.3x | FVG | LiqSweep | MACD_Div | ChoCH | Session:LONDON | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,-1.0,bear,0.2053,0,2.5449,0.0526,1.332,-1,0.0,1.2332,0.8682,0.0,-0.0272,1.12,-1.0,-0.1,2.0,1138,35,1,0.148,2.545,0,1.159,3
ETHUSDT,1171,1183,1707237900,1707249600,LONG,TRAIL,2349.04,2378.40972168,2593.78768065,2300.09046387,0.3566938806862219,0.34229717633077245,0.014396704355449406,16,1.39,62.8,0.31583166332665996,0.0056541964654270764,1.8350973799579722,base,adaptive disabled,1.0,81.9,90,87,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.2627,0,2.9951,0.0526,1.3334,-1,0.0,0.077,1.0439,1.298,0.2088,0.986,1.0,0.0513,0.75,1171,0,1,0.364,4.284,0,1.408,1
ETHUSDT,1186,1269,1707251400,1707327000,LONG,TRAIL,2381.84,2416.62178359,2671.68819661,2323.87036068,0.2448156512007759,0.23788209934993096,0.006933551850844927,14,1.43,69.6,0.5095263065897504,0.004270298368565272,1.1811843905980934,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,bull,0.1979,0,3.5038,0.0526,1.4471,-1,0.0,0.4918,1.2121,2.704,0.1554,1.258,1.0,0.3021,0.421875,1186,0,4,1.795,1.143,1,1.134,4
XLMUSDT,1218,1226,1707280200,1707288300,SHORT,TRAIL,0.1081,0.10732168,0.101614,0.1093972,0.809435707678072,0.765685707678072,0.04375000000000005,15,1.59,34.66,0.4285714285714342,0.0030912862209495316,1.1149238980529128,base,adaptive disabled,1.15,68.0,60,100,50,80,OFF_HOURS,neutral,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.6667,7,2.9603,0.0526,1.8389,-1,0.0,0.0,1.2848,3.0,0.214,1.21,-1.0,0.0655,1.3125,1218,19,2,0.658,0.329,1,1.316,6
AVAXUSDT,1222,1265,1707283800,1707323400,SHORT,SL,34.009,33.6803525,31.27027079,34.55674584,-0.8437499999999963,-0.8577200285081088,0.013970028508112513,15,1.62,33.95,0.6375404530744476,0.005657387671315167,1.3397474335047022,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.4859,0,2.5827,0.1111,1.763,-1,0.0,1.7362,0.2252,0.0,-0.2831,0.98,1.0,-0.417,0.5625,1218,1,2,1.356,0.777,1,1.036,0
XRPUSDT,1226,1272,1707287400,1707329700,SHORT,SL,0.5021,0.49848488,0.471974,0.5081252,-1.0456084445329443,-1.0784209445329438,0.032812499999999654,13,2.29,28.85,0.41025641025642046,0.005048869233352953,2.1188421220177034,base,adaptive disabled,1.0,78.0,60,90,90,80,OFF_HOURS,neutral,bearish,FVG,BOS bearish | Vol 2.3x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS,0,0,-1.0,range,0.3692,3,3.5672,0.0526,2.2335,-1,0.0,1.3941,0.7192,2.462,-0.0824,1.554,1.0,-0.3021,0.984375,1226,0,1,1.353,1.107,1,1.476,2
XLMUSDT,1261,1282,1707318900,1707338700,SHORT,SL,0.1075,0.106726,0.10105,0.10879,-1.007751937984493,-1.0410852713178265,0.03333333333333335,16,10.36,37.46,0.23076923076922257,0.00497281792426264,1.7885568484173509,base,adaptive disabled,1.15,81.9,90,87,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 10.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.6364,5,3.5239,0.1111,6.0253,-1,0.0,1.1628,0.646,1.5,0.0183,4.618,1.0,-0.4854,1.0,1260,1,1,0.641,-1.0,0,1.281,4
ETHUSDT,1271,1358,1707327900,1707407100,LONG,TRAIL,2414.0,2451.84095484,2729.34129034,2350.93174193,0.28843748910599915,0.28197841583418204,0.006459073271817103,14,1.54,70.99,0.588755217284557,0.006453792184142056,3.1999985263225916,base,adaptive disabled,1.15,80.5,90,80,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | RelStrengthRisk:1.15,0,0,-1.0,range,0.1591,0,4.9529,0.1111,1.7328,-1,0.0,0.13,1.3477,0.0,0.1189,1.334,1.0,0.3107,0.421875,1271,1,4,2.634,-1.0,0,1.155,4
ADAUSDT,1329,1340,1707380100,1707390900,LONG,TRAIL,0.5236,0.5345956,0.61523,0.505274,0.6150809045209049,0.6037806813066192,0.011300223214285744,14,9.91,70.52,0.3673469387755115,0.019713094624927496,4.594943148015556,base,adaptive disabled,1.0,80.5,90,80,70,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 9.9x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1,0,0,-1.0,bull,0.4725,0,6.9343,0.0526,9.563,-1,0.0,0.1146,1.1095,2.919,0.0131,3.004,1.0,0.1164,0.98876953125,1329,0,2,1.689,0.077,1,3.301,3
DOTUSDT,1330,1347,1707381000,1707397200,LONG,SL,6.965,7.015148,7.3829,6.88142,-0.7627422828427892,-0.7877422828427892,0.02500000000000014,16,1.37,61.05,0.34513274336283034,0.0031088834325479126,1.1365423327783444,base,adaptive disabled,1.15,78.5,90,100,50,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | LiqSweep | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.2308,0,4.0881,0.1111,2.3192,-1,0.0,1.1007,0.1994,0.0,0.0201,1.537,1.0,0.0524,0.75,1330,0,1,1.048,0.157,1,0.891,5
XRPUSDT,1341,1354,1707390900,1707403500,LONG,TRAIL,0.5142,0.51790224,0.545052,0.5080296,0.47403733955659977,0.4365373395565999,0.037499999999999874,15,4.0,67.5,0.542857142857113,0.004465426070705214,1.5283664967644548,base,adaptive disabled,1.15,90.5,90,100,90,80,LONDON,bullish,bullish,FVG,BOS bullish | Vol 4.0x | FVG | ChoCH | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | RelStrengthRisk:1.15,0,1,-1.0,bear,0.4507,1,1.9629,0.4286,1.6351,-1,0.0,0.4052,1.1885,0.0,0.047,2.036,1.0,0.087,1.125,1336,0,1,1.718,1.227,1,0.736,0
AVAXUSDT,1354,1404,1707402600,1707448500,LONG,TRAIL,35.777,36.23215439,39.56995323,35.01840935,0.5944411521549866,0.5767552302417652,0.017685921913221526,18,2.11,62.52,0.34138486312399385,0.008648591164063647,2.575099849797902,base,adaptive disabled,1.0,88.5,90,90,90,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | LiqSweep | ChoCH | BullWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 18,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.2619,0,5.0453,0.0526,2.0809,-1,0.0,0.7303,1.1535,0.0,0.2598,1.532,1.0,0.0858,0.9375,1354,0,2,1.954,0.842,1,1.375,3
BTCUSDT,1356,1357,1707404400,1707406200,LONG,TP1,45024.2,45364.63099157,47861.12492973,44456.81501405,0.0,-0.006695483611783119,0.006695483611783119,15,2.6,63.19,0.40031645569619134,0.004828918610011459,2.110086528868419,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 2.6x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.3757,1,3.9507,0.0526,2.5046,-1,0.0,0.1414,1.2684,10.0,0.2273,1.35,1.0,0.3305,0.2109375,1356,2,4,1.557,-1.0,0,1.924,0
ADAUSDT,1361,1394,1707408900,1707439500,LONG,TRAIL,0.5281,0.53349368,0.57304737,0.51911053,0.5005856852517419,0.482961731892979,0.01762395335876298,15,1.36,59.06,0.24175824175823962,0.00819052933839068,1.4494506755235539,base,adaptive disabled,1.15,82.3,90,89,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.6061,0,1.8472,0.25,1.2858,-1,0.0,0.7453,1.2978,0.0,-0.0247,1.097,-1.0,-0.0813,0.75,1359,6,1,0.158,1.108,1,1.003,0
DOTUSDT,1362,1367,1707409800,1707415200,LONG,TRAIL,6.978,7.05911798,7.65398318,6.84280336,0.3078848705115737,0.2962717860443858,0.011613084467187925,16,3.1,64.87,0.5652173913043473,0.005448626357803736,2.0847049848188677,base,adaptive disabled,1.0,82.5,90,90,70,80,NEW_YORK,bullish,bullish,FVG,BOS bullish | Vol 3.1x | FVG | LiqSweep | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,1,-1.0,bear,0.4882,0,3.7872,0.1765,1.9949,-1,0.0,0.5252,1.0479,0.0,0.1378,2.344,-1.0,-0.0162,0.5625,1357,0,4,1.986,0.037,1,1.471,0
BTCUSDT,1383,1402,1707428700,1707446700,LONG,TRAIL,45286.1,45626.32896016,48121.34133467,44719.05173307,0.33185005752470065,0.3198706275605163,0.011979429964184345,14,2.45,58.43,0.361674438781041,0.0051340482396011996,1.5535368277750916,base,adaptive disabled,1.15,84.5,90,100,70,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.4766,0,1.8413,0.4286,1.1622,-1,0.0,0.1166,2.3922,0.0,-0.0217,1.332,-1.0,-0.34,0.375,1378,19,6,0.78,0.758,1,0.397,1
LINKUSDT,1395,1403,1707439500,1707447600,SHORT,SL,18.137,17.97617364,16.79678029,18.40504394,-1.7994950753223633,-1.837556232384896,0.0380611570625326,20,2.66,37.78,0.2836538461538424,0.005391584194816235,1.0068366608808523,base,adaptive disabled,1.15,83.5,65,94,100,80,OFF_HOURS,bearish,neutral,OB,BOS bearish | Vol 2.7x | FVG | OB | LiqSweep | ChoCH | BearWick | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 20 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15,1,1,-1.0,bull,0.5214,2,2.4595,5.6667,1.5292,-1,0.0,1.3804,1.0384,0.0,-0.0991,2.389,1.0,-0.2936,1.40625,1395,19,1,1.19,0.82,1,1.112,1
