symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,entry_is_intrabar,atr_at_signal,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
SUIUSDT,6549,6560,1743614100,1743624900,LONG,TP1,2.4534,2.49720539,2.81844495,2.38039101,0.0,-0.06300765152346313,0.06300765152346313,17,2.17,57.74,0.28297632468996503,0.015754126197376723,1.6731427619740216,base,adaptive disabled,1.15,89.1,90,93,90,80,NEW_YORK,bullish,bullish,FVG,True,0.03300899002535088,BOS bullish | Vol 2.2x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.6276,1,1.6692,0.5385,1.098,-1,0.0,0.4027,1.7098,0.0,-0.188,1.61,-1.0,-0.0612,1.5625,6544,8,1,0.633,0.685,1,0.445,0
SUIUSDT,6562,6564,1743625800,1743628500,LONG,SL,2.4454,2.47939652,2.72870431,2.38873914,-1.69594584339172,-1.7768681061318201,0.08092226274010018,16,7.24,51.91,0.1356147021546253,0.03262245762387024,3.1380492407741505,base,adaptive disabled,1.25,81.7,90,56,90,80,DEAD_ZONE,bullish,bullish,FVG,True,0.0352608622623655,BOS bullish | Vol 7.2x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0,-1.0,range,0.8318,0,3.6074,0.0526,7.3046,-1,0.0,1.2407,1.0442,0.0,-0.0382,2.399,1.0,-0.1322,1.5625,6562,6,2,0.216,0.956,1,3.02,2
DOTUSDT,6604,6626,1743663600,1743684300,SHORT,TRAIL,3.998,3.91794059,3.33083827,4.13143235,0.29087773692062036,0.2757090952831164,0.015168641637503992,16,1.72,34.44,0.4545454545454505,0.005912041862856478,0.9860793157335694,base,adaptive disabled,1.25,78.5,90,100,50,80,OFF_HOURS,bearish,bearish,FVG,True,0.023432346790414744,BOS bearish | Vol 1.7x | FVG | ChoCH | Engulfing | BearWick | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.0984,2,2.3899,0.0526,1.7539,-1,0.0,0.2173,1.4364,1.452,-0.2853,1.389,1.0,-0.1715,0.421875,6604,33,4,1.75,0.811,1,1.238,1
LINKUSDT,6608,6619,1743667200,1743678000,SHORT,TRAIL,13.026,12.8049704,11.18408668,13.39438266,0.4027317002380085,0.37289672510644284,0.029834975131565647,14,1.83,31.42,0.43370786516853643,0.005895580788174621,0.8283918196893664,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,True,0.08938266438636737,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.3459,0,2.3159,0.1765,1.3529,-1,0.0,0.1276,1.303,2.383,-0.361,1.82,1.0,-0.5399,0.703125,6604,0,4,2.059,1.633,1,1.13,1
AVAXUSDT,6630,6700,1743687000,1743750900,SHORT,SL,17.863,17.487877,14.736975,18.488205,-1.0181660415383766,-1.0503088986812337,0.032142857142857084,15,1.87,30.92,0.41941941941942135,0.013745509728545208,1.994397698970703,base,adaptive disabled,1.15,82.5,90,90,70,80,NEW_YORK,bearish,bearish,FVG,True,0.16528250157782312,BOS bearish | Vol 1.9x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3222,0,3.4607,0.1111,1.3549,-1,0.0,1.1276,0.3252,1.475,-0.2996,1.39,1.0,-0.3361,0.9375,6629,1,3,1.519,-1.0,0,0.768,0
XLMUSDT,6630,6702,1743687000,1743752700,SHORT,SL,0.25346,0.24813734,0.2091045,0.2623311,-1.6415664348277046,-1.6951378633991334,0.05357142857142879,16,3.1,34.82,0.23122676579925125,0.012241996454308852,2.334874590810175,base,adaptive disabled,1.15,85.9,90,77,90,80,NEW_YORK,bearish,bearish,FVG,True,0.0020676607892055896,BOS bearish | Vol 3.1x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2892,0,4.1109,0.0526,2.9824,-1,0.0,1.081,0.6576,0.649,-0.0217,1.66,1.0,-0.1052,1.5625,6630,2,3,0.75,-1.0,0,1.867,0
ADAUSDT,6631,6636,1743687900,1743693300,SHORT,TRAIL,0.6292,0.6159868,0.51909,0.651222,0.469345994914175,0.44523885205703206,0.024107142857142872,16,2.84,33.42,0.49549549549549265,0.011950413880862145,2.496480009819802,base,adaptive disabled,1.15,82.5,90,90,70,80,NEW_YORK,bearish,bearish,FVG,True,0.0054559479126808485,BOS bearish | Vol 2.8x | FVG | ChoCH | BearWick | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3149,0,4.5272,0.1765,1.8825,-1,0.0,0.0727,1.2488,1.964,-0.2897,1.617,1.0,-0.4026,0.703125,6631,3,5,1.833,-1.0,0,1.76,0
SOLUSDT,6680,6703,1743732000,1743753600,SHORT,SL,115.63,114.10625642,102.93213687,118.16957263,-0.31770539970735184,-0.3349930587041335,0.017287658996781616,17,2.56,37.95,0.5319148936170179,0.006558598665891001,1.0509031314382495,base,adaptive disabled,1.25,90.5,90,100,90,80,OFF_HOURS,bearish,bearish,FVG,True,0.7295726267328699,BOS bearish | Vol 2.6x | FVG | LiqSweep | ChoCH | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.3627,3,3.4952,0.0526,2.6131,-1,0.0,1.0789,0.5972,0.0,-0.0987,1.814,1.0,-0.0779,0.31640625,6680,0,2,1.494,3.756,0,1.412,2
SOLUSDT,6719,6732,1743767100,1743779700,SHORT,SL,114.51,112.10529,94.47075,118.51785,-1.7039314252030422,-1.7461189252030425,0.04218750000000011,14,2.58,29.97,0.67574931880109,0.011618179336971478,1.9993672799312983,base,adaptive disabled,1.15,72.0,60,90,70,80,OVERLAP,neutral,bearish,FVG,True,0.9926967311077989,BOS bearish | Vol 2.6x | FVG | ChoCH | Engulfing | BearWick | Session:OVERLAP | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:OVERLAP | QualityRisk:1.15,0,1,-1.0,bull,0.1874,0,5.0267,0.0526,2.4859,-1,0.0,1.4596,0.3202,0.0,-0.3545,2.048,1.0,-0.003,1.23046875,6719,0,4,2.287,1.612,1,1.259,1
XLMUSDT,6788,6820,1743829200,1743858900,SHORT,TRAIL,0.25759,0.25470509,0.23354909,0.26239818,0.29481009446401396,0.25864812673402043,0.036161967729993506,13,1.37,36.17,0.3776824034334895,0.0030518529679337777,0.7464371705393326,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,True,0.0009281812358741989,BOS bearish | Vol 1.4x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.1416,2,2.1978,0.0526,1.3376,-1,0.0,0.1851,1.2028,3.745,-0.2191,1.992,1.0,-0.4305,0.5625,6788,0,5,1.314,0.032,1,0.69,1
XRPUSDT,6810,6891,1743849000,1743922800,LONG,SL,2.1506,2.1963,2.2355,2.1151622,-0.48213877554475487,-0.5128613726021344,0.030722597057379442,16,1.91,69.01,0.4811715481171569,0.0056171918025709104,1.4638949856897288,base,adaptive disabled,1.0,78.5,90,100,50,80,LONDON,bullish,bullish,FVG,True,0.008337796307243102,BOS bullish | Vol 1.9x | FVG | ChoCH | BullWick | Session:LONDON | StrongTrend1h | Zone:FVG | MTF 16,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:LONDON | Strong1h+1 | NestedOB_1h+2,0,0,-1.0,range,0.2715,4,3.3942,0.0526,1.891,-1,0.0,1.2473,0.5755,10.0,0.2723,1.578,1.0,0.2598,0.421875,6810,0,2,2.363,0.756,1,1.211,3
SUIUSDT,6824,6892,1743861600,1743923700,SHORT,TRAIL,2.2045,2.1582055,1.8187125,2.2816575,0.4860188575316692,0.4603045718173836,0.02571428571428564,15,2.37,30.35,0.5248152059134116,0.010238473192717873,1.827323691810151,base,adaptive disabled,1.25,88.5,90,90,90,80,NEW_YORK,bearish,bearish,FVG,True,0.01576756106601305,BOS bearish | Vol 2.4x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1997,4,4.5727,0.0526,2.2877,-1,0.0,0.2553,1.1297,0.0,-0.0818,2.41,1.0,-0.3029,0.75,6824,0,5,2.683,0.831,1,0.983,3
NEARUSDT,6882,6896,1743913800,1743927300,SHORT,TRAIL,2.42,2.39388993,2.20241612,2.46351678,0.3748554006063854,0.3373181563525597,0.03753724425382574,16,2.05,38.57,0.6585365853658652,0.004552475458323221,1.1012438134138864,base,adaptive disabled,1.25,93.5,90,100,100,80,OFF_HOURS,bearish,bearish,OB,True,0.01051677592570394,BOS bearish | Vol 2.0x | FVG | OB | ChoCH | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.2667,0,1.6165,0.1111,1.4525,-1,0.0,0.3677,1.3405,0.0,-0.2078,1.268,1.0,-0.0488,0.5625,6881,28,5,1.521,0.951,1,0.761,1
ADAUSDT,6884,6893,1743915600,1743924600,SHORT,TRAIL,0.647,0.63987257,0.58760477,0.65887905,0.31252499147659346,0.27576068793380176,0.03676430354279172,14,1.68,36.34,0.5438596491228125,0.0037685481820858607,1.0578150898832692,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,True,0.002479046147381291,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.328,0,1.6942,0.1765,0.7856,-1,0.0,0.1599,1.1505,4.133,-0.0732,1.192,1.0,-0.2277,0.5625,6881,3,4,0.887,0.121,1,0.605,0
LINKUSDT,6893,6898,1743923700,1743929100,SHORT,TRAIL,12.693,12.57008638,11.66871986,12.89785603,1.22036925151776,1.0716638411864168,0.1487054103313433,14,4.25,39.65,0.25259515570934576,0.005538439831688707,1.338316960848868,base,adaptive disabled,1.0,72.0,60,90,70,80,LONDON,neutral,bearish,FVG,True,0.05485602872523772,BOS bearish | Vol 4.2x | FVG | LiqSweep | ChoCH | Session:LONDON | Zone:FVG | MTF 14,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:LONDON,0,0,-1.0,range,0.2474,0,3.4454,0.0526,4.4112,-1,0.0,0.0244,1.2041,1.622,0.0058,4.858,1.0,-0.1361,2.0,6893,0,1,0.565,1.568,1,0.875,4
AVAXUSDT,6911,6918,1743939900,1743947100,SHORT,TRAIL,17.169,16.99237852,15.69715433,17.46336913,0.856068025883025,0.7335860930798127,0.12248193280321218,14,1.99,35.02,0.4676258992805801,0.0038636254844651996,0.8248142163810428,base,adaptive disabled,1.25,78.5,90,100,50,80,OVERLAP,bearish,bearish,FVG,True,0.07436913435890842,BOS bearish | Vol 2.0x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.3063,3,2.6624,0.0526,1.9893,-1,0.0,0.1427,1.0135,3.939,-0.1317,1.781,1.0,-0.3929,1.75,6911,0,1,0.336,-1.0,0,1.116,2
XLMUSDT,6922,6929,1743949800,1743957000,SHORT,SL,0.24871,0.2464356,0.22975666,0.25250067,-1.0420321473512633,-1.1207654583490554,0.07873331099779203,14,1.57,36.47,0.5032679738562155,0.004737243211709117,1.2169881137281988,base,adaptive disabled,1.15,78.5,90,100,50,80,NEW_YORK,bearish,bearish,FVG,True,0.0010506676980179541,BOS bearish | Vol 1.6x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.5917,1,3.6929,0.1765,2.9866,-1,0.0,1.1502,0.4617,0.0,0.1797,1.436,-1.0,-0.2748,1.0,6917,1,2,0.847,0.847,1,0.98,0
AVAXUSDT,6923,6935,1743950700,1743962400,SHORT,TRAIL,17.082,16.86498936,15.27357796,17.44368441,1.1508651976456599,1.0800216686143695,0.07084352903129028,18,2.44,39.37,0.22381930184805204,0.009010117462310521,1.915663598966714,base,adaptive disabled,1.25,88.7,90,76,100,80,NEW_YORK,bearish,bearish,OB,True,0.09268440701170992,BOS bearish | Vol 2.4x | FVG | OB | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:OB | MTF 18 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.5051,0,2.7621,0.1765,1.336,-1,0.0,0.6359,2.046,0.838,-0.1283,1.085,1.0,-0.4311,1.25,6921,4,5,0.464,-1.0,0,1.133,1
