symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
BTCUSDT,3182,3253,1774438200,1774503000,LONG,SL,71729.5,72452.81740695,77757.14505796,70523.97098841,-0.25325888847529054,-0.2582792376367907,0.005020349161500188,14,2.88,68.7,0.6348731294729918,0.0036574200089043874,1.4025571040870648,base,adaptive disabled,1.0,84.5,90,100,70,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.9x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1,0,0,-1.0,bull,0.2098,0,3.2336,0.0526,2.8091,0,4.1578,1.2271,0.3297,3.742,-0.0244,2.53,1.0,0.149,0.2109375,3182,0,2,1.221,0.019,1,1.326,0
ETHUSDT,3182,3241,1774438200,1774492200,LONG,SL,2189.0,2212.2625503,2382.8545858,2150.22908284,-1.8352673914407815,-1.8747892834217346,0.03952189198095313,16,2.36,65.29,0.5105740181268835,0.0035495925785858757,1.0680848180593883,base,adaptive disabled,1.15,84.5,90,100,70,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Engulfing | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.2439,0,2.5003,0.0526,2.302,0,4.841,1.2001,0.3637,1.408,-0.1381,1.833,1.0,0.2652,1.75,3182,0,1,0.256,1.031,1,1.547,0
AVAXUSDT,3184,3241,1774440000,1774492200,LONG,SL,9.735,9.82618101,10.49484171,9.58303166,-1.0299225812429031,-1.055145968232588,0.025223386989684855,15,1.76,67.35,0.6054421768707501,0.005435349286429923,1.6326430419283722,base,adaptive disabled,1.0,84.5,90,100,70,80,OVERLAP,bullish,bullish,FVG,BOS bullish | Vol 1.8x | FVG | ChoCH | Session:OVERLAP | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OVERLAP | Strong1h+1,0,0,-1.0,bull,0.3314,1,2.8132,0.0526,1.7408,0,6.1199,1.1647,0.3948,8.091,0.0082,1.208,1.0,0.3478,0.984375,3184,2,2,0.73,16.041,0,2.299,1
XRPUSDT,3249,3256,1774498500,1774505700,SHORT,TRAIL,1.4029,1.38908008,1.28773399,1.4259332,0.419484177033923,0.4057799370672661,0.013704239966656841,13,1.73,32.29,0.7041420118343019,0.002829466581108806,1.000145699828171,base,adaptive disabled,1.25,75.0,80,100,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.3645,0,1.9827,0.3333,1.107,-1,0.0,0.0781,1.1505,0.0,-0.1436,1.698,1.0,-0.3115,0.5625,3244,1,6,2.322,0.391,1,0.783,0
BTCUSDT,3294,3304,1774539000,1774548900,SHORT,TRAIL,69055.1,68409.63586974,63676.23224779,70130.87355044,0.5087451828130869,0.4906914326841155,0.018053750128971414,14,4.53,31.56,0.3449190993921854,0.007108383803811216,2.485534005339985,base,adaptive disabled,1.0,73.8,65,90,70,80,NEW_YORK,bearish,neutral,FVG,BOS bearish | Vol 4.5x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1,0,0,-1.0,range,0.4154,1,4.3638,0.1111,2.628,-1,0.0,0.1347,1.1699,1.826,0.0578,2.327,-1.0,0.1596,0.703125,3293,0,1,0.611,0.449,1,0.876,1
ETHUSDT,3294,3304,1774539000,1774548900,SHORT,TRAIL,2072.65,2054.03179907,2022.0,2103.68033488,1.2276663347575878,1.194269176653827,0.03339715810376088,15,2.34,34.8,0.1566606023852832,0.007792591616389028,2.112066286340587,base,adaptive disabled,1.15,78.1,90,68,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 2.3x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.5266,1,3.2424,0.1111,1.4351,-1,0.0,0.0648,1.6543,0.823,0.0067,1.431,1.0,-0.2531,1.25,3293,16,1,0.336,0.458,1,1.167,1
BTCUSDT,3345,3363,1774584900,1774602000,SHORT,TRAIL,68537.3,68039.17312018,64386.24266821,69367.51146636,0.27094039713368845,0.26165306907038677,0.009287328063301676,16,1.31,39.28,0.5285584768812316,0.0038927149365416158,1.4168493219636853,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.3x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,1,-1.0,bull,0.3083,0,3.0868,0.1111,3.7368,-1,0.0,0.473,1.9292,0.0,0.0137,1.507,1.0,-0.0525,0.28125,3345,0,1,0.672,0.017,1,0.605,0
ETHUSDT,3345,3371,1774584900,1774609200,SHORT,TRAIL,2051.74,2032.32314618,1889.93288485,2084.10142303,1.7306052500981597,1.7115850111108513,0.019020238987308584,15,1.3,37.7,0.6498010233087131,0.0048732832916820535,1.4137579371454643,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.284,0,3.3285,0.1111,4.5421,-1,0.0,0.6566,2.5504,0.0,-0.0668,1.309,1.0,-0.2794,0.75,3345,0,1,0.969,0.488,1,0.54,0
SUIUSDT,3430,3456,1774661400,1774685700,SHORT,SL,0.8762,0.86989136,0.823628,0.8867144,-0.7917712850947245,-0.8167712850947244,0.024999999999999918,15,1.92,38.3,0.32467532467532095,0.00537870160975793,1.2055187378531433,base,adaptive disabled,1.25,78.1,90,98,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | LiqSweep | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.5285,1,3.5526,0.0526,1.9448,1,1.1209,1.1223,0.4914,0.0,0.0432,1.169,-1.0,0.048,0.75,3430,1,2,0.318,1.213,1,0.809,1
ADAUSDT,3542,3559,1774762200,1774778400,SHORT,TRAIL,0.2453,0.24353384,0.230582,0.2482436,0.3046700740610105,0.2859200740610106,0.01874999999999988,16,13.8,29.3,0.48571428571428343,0.005857977770842772,1.8159731096935177,base,adaptive disabled,1.15,82.5,90,90,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 13.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | NestedOB_1h+2 | TrendPairRisk:1.15,0,1,-1.0,bull,0.6087,0,4.1481,0.1111,7.407,-1,0.0,0.2718,1.189,0.0,0.2103,5.641,1.0,-0.5599,0.5625,3541,1,1,0.957,0.532,1,0.745,0
ETHUSDT,3561,3611,1774779300,1774825200,SHORT,TRAIL,1995.99,1981.618872,1876.2306,2019.94188,4.9286570398016565,4.863032039801657,0.0656249999999998,14,2.5,31.49,0.754999999999974,0.0019116318861180498,0.9073970382863848,base,adaptive disabled,1.15,80.0,60,100,90,80,LONDON,neutral,bearish,FVG,BOS bearish | Vol 2.5x | FVG | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | QualityRisk:1.15,0,1,-1.0,bull,0.3053,2,3.0789,0.0526,2.6088,-1,0.0,0.5407,2.5036,0.0,-0.0513,2.033,1.0,-0.3138,1.96875,3561,0,3,1.257,0.561,1,1.075,2
BTCUSDT,3563,3590,1774781100,1774806300,SHORT,TRAIL,66687.5,66207.35,62686.25,67487.75,0.3973441310811977,0.3754691310811977,0.021875,16,1.61,36.9,0.4215236847849888,0.0016190974907555854,0.8969327073643452,base,adaptive disabled,1.15,74.0,60,100,70,80,LONDON,neutral,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | Engulfing | Session:LONDON | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:LONDON | NestedOB_1h+2 | QualityRisk:1.15,0,0,-1.0,range,0.6684,1,2.264,0.1111,0.6966,-1,0.0,0.3355,1.1757,0.0,-0.0528,1.597,1.0,-0.2423,0.65625,3561,15,3,0.897,1.681,1,2.835,1
ETHUSDT,3573,3611,1774790100,1774825200,SHORT,TRAIL,1992.74,1978.392272,1873.1756,2016.65288,2.3712804613853886,2.3379471280520554,0.033333333333333215,16,1.5,36.96,0.13278974956318945,0.005181640155529605,2.3271605672501265,base,adaptive disabled,1.15,71.5,90,65,50,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.5x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | NestedOB_1h+2 | TrendPairRisk:1.15,0,0,-1.0,range,0.4198,0,3.6715,0.1111,3.8537,-1,0.0,0.6775,2.2812,0.514,-0.0678,1.326,1.0,-0.2847,1.0,3573,0,1,0.025,0.007,1,0.581,0
SUIUSDT,3599,3610,1774813500,1774824300,SHORT,TRAIL,0.8397,0.831925,0.77490829,0.85265834,0.0,-0.014579992499039279,0.014579992499039279,14,1.31,32.17,0.45555555555555766,0.004366168096641592,1.1919638905240022,base,adaptive disabled,1.25,84.5,90,100,70,80,DEAD_ZONE,bearish,bearish,FVG,BOS bearish | Vol 1.3x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,bear,0.2017,0,2.9783,0.1111,1.0137,-1,0.0,0.5788,1.0675,10.0,0.0334,1.882,1.0,-0.258,0.5625,3598,0,1,1.07,1.128,1,1.301,0
ETHUSDT,3770,3779,1774967400,1774976400,LONG,TRAIL,2059.01,2095.59886331,2363.91719424,1998.02856115,1.2702390490102309,1.2466038736653973,0.023635175344833587,14,1.64,58.04,0.3515961059542647,0.009164171928534954,2.135979374581132,base,adaptive disabled,1.15,75.0,60,90,80,80,NEW_YORK,neutral,bullish,OB,BOS bullish | Vol 1.6x | FVG | OB | ChoCH | Session:NEW_YORK | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:NEW_YORK | QualityRisk:1.15,0,0,-1.0,range,0.401,0,2.8202,0.1111,1.9777,-1,0.0,0.3768,1.3663,4.548,0.1097,0.824,1.0,0.4072,1.75,3770,5,6,0.727,1.359,1,2.472,0
ADAUSDT,3776,3828,1774972800,1775020500,SHORT,SL,0.2385,0.2334915,0.1967625,0.2468475,-0.7816711590296501,-0.7902425876010786,0.008571428571428563,14,1.9,36.14,0.35593220338983284,0.007281790355197702,1.4593921509610477,base,adaptive disabled,1.15,78.5,90,100,50,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2184,0,3.6246,0.0526,1.96,0,0.9527,1.0901,0.8585,0.0,-0.1303,1.654,-1.0,0.0938,0.75,3776,0,1,0.423,3.383,0,0.544,0
ETHUSDT,3812,3830,1775005200,1775022300,LONG,TRAIL,2103.44,2120.2754303,2243.73525251,2075.3809495,0.7216346922623521,0.6991452641186592,0.02248942814369288,16,1.4,57.2,0.2892609699769228,0.0057951565186907415,1.1034921533833175,base,adaptive disabled,1.15,83.3,90,94,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,1,-1.0,bear,0.4422,0,2.1131,0.1111,2.9424,-1,0.0,0.8692,1.934,0.0,0.1445,1.255,1.0,0.2964,0.75,3812,0,1,0.167,1.755,0,0.742,0
